Experiment Name,Instance,Description,Number of Runs,nIters (Generations),popSize,xoverH,Pc,mutH,Pm,elites,trunk,Best Distance Found,Average Distance,Initial Average Distance,Total Time (s)
Exp1_OX Crossover,inst-c.tsp,Default with OX,10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,52.444
Exp1_Uniform Crossover,inst-c.tsp,Default with Uniform,10,1000,100,1,0.9,0,0.2,0.1,0.5,5431582.00,5875744.90,14955700.10,44.606
Exp2_Reciprocal Mutation,inst-c.tsp,Default with Reciprocal,10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,51.218
Exp2_Inversion Mutation,inst-c.tsp,Default with Inversion,10,1000,100,0,0.9,1,0.2,0.1,0.5,3370682.00,3506561.00,14955700.10,53.496
Exp3_Pc=0.8,inst-c.tsp,Pc=0.8,10,1000,100,0,0.8,0,0.2,0.1,0.5,4805633.00,5004999.40,14955700.10,46.989
Exp3_Pc=0.9,inst-c.tsp,Pc=0.9 (default),10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,49.185
Exp3_Pc=1.0,inst-c.tsp,Pc=1.0,10,1000,100,0,1.0,0,0.2,0.1,0.5,4672327.00,5018126.70,14955700.10,51.543
Exp4_Pm=0.05,inst-c.tsp,Pm=0.05,10,1000,100,0,0.9,0,0.05,0.1,0.5,5588116.00,5846817.00,14955700.10,51.670
Exp4_Pm=0.2,inst-c.tsp,Pm=0.2 (default),10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,53.700
Exp4_Pm=0.3,inst-c.tsp,Pm=0.3,10,1000,100,0,0.9,0,0.3,0.1,0.5,4668607.00,4976861.10,14955700.10,50.821
Exp5_Elitism=0.0,inst-c.tsp,No Elitism,10,1000,100,0,0.9,0,0.2,0.0,0.5,5205204.00,5656132.40,14955700.10,59.436
Exp5_Elitism=0.1,inst-c.tsp,Elitism=0.1 (default),10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,53.743
"Exp6_Pop=50,Gen=2000",inst-c.tsp,50x2000 (100K total),10,2000,50,0,0.9,0,0.2,0.1,0.5,4716412.00,5104962.80,14998960.00,51.470
"Exp6_Pop=100,Gen=1000",inst-c.tsp,100x1000 (100K total),10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,48.256
"Exp6_Pop=200,Gen=500",inst-c.tsp,200x500 (100K total),10,500,200,0,0.9,0,0.2,0.1,0.5,4687014.00,5224400.60,14718954.40,48.493
Default_inst-d.tsp,inst-d.tsp,Default settings on inst-d.tsp,10,1000,100,0,0.9,0,0.2,0.1,0.5,29535422.00,32642630.50,109146552.20,267.963
Evolution_Default_inst-c.tsp,inst-c.tsp,Evolution analysis - default settings (1 run for graph),10,1000,100,0,0.9,0,0.2,0.1,0.5,4694543.00,5102315.70,14955700.10,53.573
